audio_filename,start_time,end_time,duration,phoneme,previous_phoneme,next_phoneme,speaker_id,overlap,comp,ipa_phoneme
fn001617_sentence-1.wav,4.423,4.453,0.03,@,m,EOS,N02001_male_38,False,k,ə
fn001621_sentence-0.wav,5.073,5.103,0.03,@,m,EOS,N02001_male_38,False,k,ə
fn001628_sentence-0.wav,3.364,3.394,0.03,n,@,EOS,N02002_male_41,False,k,n
fn001628_sentence-1.wav,4.523,4.563,0.04,r,@,EOS,N02002_male_41,False,k,r
fn001704_sentence-0.wav,4.803,4.844,0.041,r,@,EOS,N02004_male_23,False,k,r
fn001705_sentence-2.wav,5.024,5.054,0.03,r,@,EOS,N02004_male_23,False,k,r
fn001194_sentence-102.wav,1.322,1.363,0.041,r,@,EOS,N00694_female_63,False,o,r
fn001962_sentence-2.wav,2.788,2.818,0.03,w,A+,EOS,N02008_male_39,False,k,ʋ
fn001446_sentence-18.wav,7.041,7.082,0.041,n,i,EOS,N00750_male_66,False,o,n
fn001123_sentence-39.wav,1.446,1.476,0.03,r,i,EOS,N00623_female_48,False,o,r
fn001340_sentence-17.wav,0.802,0.843,0.041,@,j,EOS,N00729_female_54,False,o,ə
fn001555_sentence-112.wav,1.004,1.035,0.031,r,@,EOS,N00820_female_42,False,o,r
fn001555_sentence-125.wav,1.161,1.202,0.041,r,a,EOS,N00820_female_42,False,o,r
fn001043_sentence-12.wav,2.194,2.224,0.03,@,N,EOS,N00543_female_60,False,o,ə
fn001601_sentence-0.wav,3.226,3.257,0.031,n,@,EOS,N02000_male_36,False,k,n
fn001605_sentence-1.wav,3.644,3.674,0.03,r,@,EOS,N02000_male_36,False,k,r
fn001267_sentence-15.wav,4.622,4.652,0.03,r,@,EOS,N00627_female_60,False,o,r
fn000052_sentence-5.wav,1.783,1.824,0.041,l,Y,EOS,N00008_male_28,False,k,l
fn001352_sentence-65.wav,0.611,0.643,0.032,r,u,EOS,N00703_male_67,False,o,r
fn001352_sentence-98.wav,0.553,0.584,0.031,r,u,EOS,N00703_male_67,False,o,r
fn001032_sentence-20.wav,8.261,8.292,0.031,@,k,EOS,N00519_female_52,False,o,ə
fn001560_sentence-15.wav,0.746,0.776,0.03,n,i,EOS,N00823_female_56,False,o,n
fn001162_sentence-12.wav,1.111,1.141,0.03,p,o,EOS,N00662_female_60,False,o,p
fn001162_sentence-19.wav,6.061,6.092,0.031,@,d,EOS,N00662_female_60,False,o,ə
fn001562_sentence-12.wav,9.044,9.075,0.031,l,@,EOS,N00824_female_61,False,o,l
fn001091_sentence-24.wav,2.703,2.744,0.041,@,j,EOS,N00551_female_49,False,o,ə
fn001161_sentence-115.wav,1.464,1.504,0.04,r,a,EOS,N00661_male_38,False,o,r
fn001366_sentence-13.wav,4.662,4.702,0.04,l,@,EOS,N00710_male_66,False,o,l
fn001472_sentence-49.wav,2.784,2.814,0.03,r,@,EOS,N00779_male_63,False,o,r
fn001193_sentence-0.wav,1.37,1.401,0.031,l,u,EOS,N00693_male_64,False,o,l
fn001275_sentence-22.wav,7.03,7.06,0.03,@,s,EOS,N00632_female_66,False,o,ə
